1.43888e+01  3.97839e+01 -1.03163e-02  1.00769e-02
1.42511e+01  3.99398e+01 -8.62865e-03  8.46055e-03
1.38512e+01  4.01220e+01 -9.46213e-03  9.26036e-03
1.35700e+01  4.01349e+01 -1.76152e-02  1.69285e-02
1.48172e+01  3.94209e+01 -2.94844e-02  2.76093e-02
1.46971e+01  3.93712e+01 -3.31982e-02  3.08397e-02
1.45769e+01  3.92748e+01 -3.16433e-02  2.94935e-02
1.51763e+01  3.95613e+01 -2.20496e-02  2.09851e-02
1.52715e+01  3.96804e+01 -1.66003e-02  1.59871e-02
1.53745e+01  3.97890e+01 -2.12752e-02  2.02827e-02
1.54992e+01  3.95943e+01 -2.85971e-02  2.68293e-02
1.55627e+01  3.95852e+01 -1.90244e-02  1.82236e-02
1.56288e+01  3.94819e+01 -2.19381e-02  2.08842e-02
1.76794e+01  3.84702e+01 -1.10044e-01  8.77217e-02
1.77737e+01  3.83153e+01 -1.10107e-01  8.77617e-02
1.78361e+01  3.83124e+01 -1.06914e-01  8.57250e-02
1.78769e+01  3.83480e+01 -1.06972e-01  8.57622e-02
1.79065e+01  3.84216e+01 -1.01557e-01  8.22518e-02
1.79293e+01  3.84506e+01 -1.06972e-01  8.57622e-02
1.79486e+01  3.85075e+01 -9.69537e-02  7.92104e-02
1.79671e+01  3.84177e+01 -1.06914e-01  8.57250e-02
1.79891e+01  3.82558e+01 -1.04190e-01  8.39675e-02
1.80182e+01  3.82119e+01 -9.91547e-02  8.06713e-02
1.80455e+01  3.82781e+01 -1.09981e-01  8.76818e-02
1.80712e+01  3.81833e+01 -1.04190e-01  8.39675e-02
1.81004e+01  3.82604e+01 -9.92013e-02  8.07021e-02
1.81294e+01  3.83094e+01 -1.09918e-01  8.76419e-02
1.81594e+01  3.84113e+01 -1.09918e-01  8.76419e-02
1.81916e+01  3.83916e+01 -1.09918e-01  8.76419e-02
1.82340e+01  3.81947e+01 -1.09981e-01  8.76818e-02
1.82858e+01  3.82138e+01 -1.09981e-01  8.76818e-02
1.83577e+01  3.80128e+01 -1.10170e-01  8.78017e-02
1.84257e+01  3.83006e+01 -1.09918e-01  8.76419e-02
1.85033e+01  3.81240e+01 -1.09918e-01  8.76419e-02
1.86018e+01  3.84552e+01 -1.10360e-01  8.79219e-02
